Fournisseur;Actif;id;CB;UPC;Produit;Réference;Categorie;Prix Achat;Prix Vente;Unité de Vente;Quantité à la vente;
"De la pousse à l'assiette";"Non";"1706";"";"";"Confiture kiwi et orange sanguine bio 250 g";"DD-RO-UUN-NN";"Accueil";"0.00";"3.90";"";"0";
"De la pousse à l'assiette";"Non";"1708";"";"";"Duo de Micro pousses corsé  1 coriandre et un corsé  1 coriandre et 1 variété surprise corsée";"GD-MN-UUN-NN";"Légumes frais";"2.24";"2.80";"barquette";"4";
"De la pousse à l'assiette";"Non";"1709";"";"";"Duo de Micro pousses Fort et Doux";"GD-MN-UUN-NN";"Légumes frais";"2.24";"2.80";"barquette";"4";
"De la pousse à l'assiette";"Non";"1711";"";"";"Lot de 4 Micro pousses de tournesol, basilic,persil et une variété de pousse  découverte";"GD-MN-UUN-NN";"Légumes frais";"4.00";"5.00";"barquette";"4";
"De la pousse à l'assiette";"Non";"1731";"";"";"Micro pousses de Brocoli  en bac de 14 *19 cm très dense";"GD-MN-UUN-NN";"Légumes frais";"4.40";"5.50";"barquette";"0";
"De la pousse à l'assiette";"Non";"1732";"";"";"Micro pousses de Tournesol  en bac de 14 *19 cm très dense";"GD-MN-UUN-NN";"Légumes frais";"4.40";"5.50";"barquette";"1";
"De la pousse à l'assiette";"Non";"1733";"";"";"Micro pousses de Lentilles Corail  en bac de 14 *19 cm très dense";"GD-MN-UUN-NN";"Légumes frais";"4.40";"5.50";"barquette";"1";
"DOMAINE de Canta Rainette";"Oui";"120";"3000001234654";"";"Vin Côtes de Provence BLANC, Origines  Origine Domaine de Canta Rainette (bouteille)";"SA-RO-UUN-NN-P";"Boissons";"6.00";"7.20";"";"18";
"DOMAINE de Canta Rainette";"Oui";"121";"3000001234661";"";"Vin Côtes de Provence ROUGE Grande réserve Domaine de Canta Rainette (bouteille)";"SA-RO-UUN-NN-P";"Vins et bières";"7.70";"10.40";"";"1";
"DOMAINE de Canta Rainette";"Oui";"122";"3000001234678";"";"Vin ROUGE Cuvée Armony en cubi 5 litres";"SA-RO-UUN-NN-P";"Vins et bières";"14.50";"18.80";"litre";"9";
"DOMAINE de Canta Rainette";"Oui";"1161";"";"";"Vin ROSE AOP CANTA RAINETTE, Cuvée éphémère en cubi 5 litres";"SA-RO-UUN-NN-P";"Boissons";"20.50";"25.00";"litre";"3";
"DOMAINE de Canta Rainette";"Non";"123";"3000001234685";"";"Vin ROSE cuvée Aurore en cubi 5 litres";"SA-RO-UUN-NN-P";"Vins et bières";"14.50";"18.80";"litre";"20";
"DOMAINE de Canta Rainette";"Non";"410";"";"";"Vin Côtes de Provence Rosé cuvée Divine Domaine de Canta Rainette (bouteille)";"SA-RO-UUN-NN-P";"Vins et bières";"5.30";"6.70";"";"0";
"DOMAINE de Canta Rainette";"Non";"840";"";"";"Vin Côtes de Provence ROUGE  Domaine de Canta Rainette (bouteille)";"SA-RO-UUN-NN-P";"Vins et bières";"7.70";"9.90";"";"0";
"Domaine Fontaine des fées";"Oui";"842";"3000001234708";"";"Vin Côtes du Rhône village Rouge Domaine Fontaine des fées (BIO)";"SA-RO-UUN-NN-P";"Boissons";"6.60";"7.20";"Bouteille de 75 cl";"1";
"Domaine Fontaine des fées";"Non";"841";"3000001234692";"";"Vin Côtes du Rhône BLANC Domaine Fontaine des fées (BIO)";"SA-RO-UUN-NN-P";"Boissons";"6.00";"6.90";"Bouteille de 75 cl";"0";
"DOMAINE Pastouret vin BIO";"Non";"157";"";"";"Vin ROUGE BIO Costières de Nîmes CUVEE MICHEL";"SA-RO-UUN-NN-P";"Vins et bières";"3.60";"4.80";"";"-1";
"DOMAINE Pastouret vin BIO";"Non";"158";"";"";"Vin ROUGE BIO Costières de Nîmes CUVEE DE MATHIEU ";"SA-RO-UUN-NN-P";"Vins et bières";"4.20";"5.70";"";"0";
"DOMAINE Pastouret vin BIO";"Non";"159";"";"";"Vin ROUGE BIO Costières de Nimes en box de 5 litres";"SA-RO-UUN-NN-P";"Vins et bières";"11.95";"15.00";"";"0";
"DOMAINE Pastouret vin BIO";"Non";"435";"";"";"Vin Blanc BIO Costières de Nîmes CUVEE JEANNE";"SA-RO-UUN-NN-P";"Vins et bières";"3.60";"4.80";"";"3";
"Earl Le Plumet";"Non";"1390";"";"";"Noix Grenoble Bio  (au Kg)";"DF-RO-KUN-NO-P";"Fruits secs";"4.80";"5.90";"Kg";"0";
"Earl Le Plumet";"Non";"1391";"";"";"Noix Grenoble Bio  par 5Kg";"DF-RO-KUN-NO-P";"Fruits secs";"24.00";"28.50";"5Kg";"0";
"Echange Paysan 05 - C&E";"Oui";"1306";"3443860002017";"";"Yaourt Fermier Nature 125G  à l'unité. Echange Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"0.26";"0.35";"";"6";
"Echange Paysan 05 - C&E";"Oui";"1313";"3456570000020";"";"Fromage Blanc  fermier 40%  Pot 1 Kg. Echange Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"3.20";"4.30";"";"2";
"Echange Paysan 05 - C&E";"Oui";"1314";"3456570000174";"";"Lait entier pasteurisé Bouteille 1 L . Echange Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"1.30";"1.70";"";"2";
"Echange Paysan 05 - C&E";"Oui";"1315";"3770014850010";"";"Jus  Poire 1L  Echange paysans";"DJ-RO-UUN-NN-P";"Jus de fruits";"2.37";"3.00";"Litre";"6";
"Echange Paysan 05 - C&E";"Oui";"1317";"3770014850034";"";"Jus de pomme coing 1L Echange paysans";"DJ-RO-UUN-NN-P";"Jus de fruits";"2.37";"3.00";"Litre";"1";
"Echange Paysan 05 - C&E";"Oui";"1342";"";"";"Fromage Blanc 1 Kg   au Lait Cru Bio Echanges Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"4.42";"5.50";"";"2";
"Echange Paysan 05 - C&E";"Oui";"1343";"";"";"Pyramide cendrée affinée 160 g Bio Echanges Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"3.30";"4.40";"";"3";
"Echange Paysan 05 - C&E";"Oui";"1345";"";"";"Vin Domaine de la Grande Hauche Blanc Bib 3l Bio";"SA-RO-UUN-NN-P";"Boissons";"14.76";"18.45";"";"2";
"Echange Paysan 05 - C&E";"Oui";"1346";"3416604103004";"";"Vin Domaine de la Grande Hauche Rouge Bib 3l Bio";"SA-RO-UUN-NN-P";"Boissons";"14.76";"18.45";"";"1";
