id_product;name;reference;price;wholesale_price;active;shopname;supp;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"745";"Fèves BIO (à l'hectogramme)";"LG-MN-KDN-NO-P";"0.400000";"0.300000";"0";"Coop La Meute";"VIDAL Yann";"1";"1047";"Autres légumes";"0";"0";"";"882";"0";
"746";"Courgettes blanches BIO (au 500 g)";"LG-MN-KMN-NO-P";"1.650000";"1.320000";"0";"Coop La Meute";"VIDAL Yann";"1";"1580";"Courgettes et Aubergines";"0";"0";"";"912";"0";
"747";"Courgettes fleurs BIO (au 500 g)";"LG-MN-KMN-NO-P";"3.150000";"2.500000";"0";"Coop La Meute";"VIDAL Yann";"1";"1051";"Courgettes et Aubergines";"0";"0";"";"993";"0";
"748";"Pommes de terre nouvelles BIO (au kg)";"LP-MN-KUN-NO-P";"2.650000";"2.110000";"0";"Coop La Meute";"VIDAL Yann";"1";"1053";"Pommes de terre";"0";"0";"";"923";"0";
"749";"Tartines craquantes Sarrasin sans gluten 150g";"DP-RO-UUN-NN-P";"2.250000";"1.780000";"1";"Coop La Meute";"Jardin Bio";"1";"1056";"Accueil";"0";"0";"";"8";"0";
"750";"Haricots rouges  BIO 660g";"SC-RO-UUN-NN-P";"3.100000";"2.390000";"1";"Coop La Meute";"Jardin Bio";"1";"1057";"Epicerie salée";"0";"0";"";"5";"0";
"751";"Champignons de Paris entiers  BIO 280g";"SC-RO-UUN-NN-P";"3.450000";"2.720000";"1";"Coop La Meute";"Jardin Bio";"1";"1058";"Epicerie salée";"0";"0";"";"3";"0";
"752";"Pâtes Accordéons à l’épeautre BIO  500g";"SP-RO-UUN-NN-P";"2.750000";"2.210000";"1";"Coop La Meute";"Jardin Bio";"1";"1059";"Pâtes, Riz, Autres céréales";"0";"0";"";"7";"0";
"753";"Sablés noisette sirop d’érable sans huile de palme bio 150g";"SB-RO-UUN-NN-P";"2.450000";"1.950000";"1";"Coop La Meute";"Jardin Bio";"1";"1060";"Epicerie sucrée";"0";"0";"";"1";"0";
"757";"Vente flash";"";"0.000000";"0.000000";"1";"Coop La Meute";"";"1";"";"Accueil";"0";"0";"";"809";"0";
"758";"Courgettes rondes Bio (au kg)";"LG-MN-KUN-NO";"2.900000";"2.320000";"0";"Coop La Meute";"VIDAL Yann";"1";"1070";"Légumes frais";"0";"0";"";"942";"0";
"759";"Oignons rouges BIO (au kg)";"LB-MV-KUN-NO-P";"4.400000";"3.500000";"0";"Coop La Meute";"VIDAL Yann";"1";"1069";"Accueil";"0";"0";"";"3";"0";
"760";"Tomates Marmande BIO (au kg)";"LT-MV-KUN-NO-P";"6.000000";"5.000000";"0";"Coop La Meute";"ORSO Jean-Charles";"1";"1075";"Légumes frais";"0";"0";"";"999";"0";
"761";"Moutarde forte de Dijon bio 350g";"SH-RO-UUN-NN-P";"2.650000";"2.010000";"1";"Coop La Meute";"Jardin Bio";"1";"1076";"Huiles , Vinaigres et Condiments";"0";"0";"";"6";"0";
"763";"Sauce tomate aux cèpes bio 300g";"SC-RO-UUN-NN-P";"2.900000";"2.180000";"1";"Coop La Meute";"Jardin Bio";"1";"1078";"Accueil";"0";"0";"";"3";"0";
"764";"Ratatouille  400 g";"SC-RO-UUN-NN-P";"2.750000";"2.190000";"1";"Coop La Meute";"Jardin Bio";"1";"1079";"Epicerie salée";"0";"0";"";"5";"0";
"767";"Pêches Jaunes et blanches ( au Kg)";"FN-MN-KUN-NO-P";"3.000000";"2.110000";"0";"Coop La Meute";"ORSO Manuel";"1";"1082";"Pêches, Nectarines et Abricots";"0";"0";"";"695";"0";
"768";"Tomates Cerises BIO (au 500g)";"LT-MV-KMN-NO-P";"2.400000";"1.900000";"0";"Coop La Meute";"VIDAL Yann";"1";"1083";"Tomates";"0";"0";"";"981";"0";
"769";"Oignons blancs (par 500g)";"LB-MN-KMN-NO-P";"1.450000";"1.100000";"0";"Coop La Meute";"Naturdis";"1";"1084";"Accueil";"0";"0";"";"947";"0";
"771";"Pommes de Terre Nouvelles BIO (kg)";"LP-MO-KUN-NO";"1.900000";"1.500000";"0";"Coop La Meute";"VIDAL Yann";"1";"1085";"Légumes frais";"0";"0";"";"981";"0";
"772";"Pommes de Terre Nle rouge BIO (kg)";"LP-MO-KUN-NO";"1.900000";"1.500000";"0";"Coop La Meute";"VIDAL Yann";"1";"1086";"Légumes frais";"0";"0";"";"970";"0";
"773";"Pommes de Terre grenaille BIO (kg)";"LP-MO-KUN-NO";"1.900000";"1.500000";"0";"Coop La Meute";"VIDAL Yann";"1";"1087";"Légumes frais";"0";"0";"";"988";"0";
"774";"Courgette verte Bio (kg)";"LG-MN-KUN-NO";"2.400000";"1.900000";"0";"Coop La Meute";"VIDAL Yann";"1";"1088";"Légumes frais";"0";"0";"";"751";"0";
"775";"Aubergine BIO (kg)";"LF-MN-KUN-NO";"2.750000";"2.200000";"0";"Coop La Meute";"VIDAL Yann";"1";"1089";"Légumes frais";"0";"0";"";"962";"0";
