id_product;name;reference;ean13;price;wholesale_price;active;supp;sav_quantity;badge_danger;
"1909";"Morbier BIO 250 g de fromage";"CF-RO-KQN-NO";"";"3.500000";"2.530000";"1";"Fromagerie MONNIN";"20";"0";
"1910";"Pur jus bio de pamplemousse rose 1L";"DJ-RO-UUN-NN-P";"";"3.850000";"3.080000";"1";"Jardin Bio";"1";"0";
"1911";"Pommes reinettes Italie bio";"FP-MO-KMN-NO";"";"2.200000";"1.750000";"0";"NaturDis_M";"0";"1";
"1912";"Gelée royale 100% fraiche  BIO origine Italie Pollenenergie";"DS-RO-UUN-NN-P";"";"19.350000";"15.460000";"1";"NaturDis_A";"1";"0";
"1913";"Spiruline cote d'azur (100g) comprimés";"MX-RO-UUN-NN-P";"";"18.700000";"14.980000";"1";"Spirulina Cote d'AZUR";"11";"0";
"1914";"Crème mains Marius Fabre";"BX-RO-UUN-NNP";"3298656600522";"7.410000";"5.930000";"0";"MARIUS FABRE";"0";"1";
"1915";"Coffret Savon liquide et cigale";"BX-RO-UUN-NNP";"3298659747729";"9.660000";"7.730000";"1";"MARIUS FABRE";"3";"0";
"1916";"Coffret 6 Savons de Marseille Collector 100 ans";"BX-RO-UUN-NNP";"3298651111115";"16.410000";"13.130000";"1";"MARIUS FABRE";"3";"0";
"1917";"Boite Métal multifonction";"BX-RO-UUN-NNP";"";"6.060000";"4.850000";"1";"MARIUS FABRE";"9";"0";
"1918";"Coffret cadeau - Trio de savons";"BX-RO-UUN-NNP";"3298651717942";"7.830000";"6.260000";"1";"MARIUS FABRE";"8";"0";
"1919";"Lait entier pasteurisé au chocolat Bouteille 1 L . Echange Paysans";"CR-RO-UUN-NN";"";"2.550000";"1.940000";"0";"Echange Paysan 05 - C&E";"0";"1";
"1920";"Pomme de terre Agata au Kg petit calibre";"LP-MO-KUN-NO-P";"";"1.000000";"0.780000";"1";"Echange Paysan 05 - F&L";"14";"0";
"1921";"Argile blanche ventilée";"BX-RN-UUN-NN";"3464660000300";"4.200000";"3.370000";"1";"Bryio";"6";"0";
"1922";"Rillette de sardines au tartare d'algues 120g";"SC-RO-UUN-NN-P";"3 263 670 195 019";"2.600000";"1.960000";"1";"Bryio";"6";"0";
"1923";"Grand Panier Gourmand";"MX-RO-UUN-NN-P";"";"42.450000";"33.960000";"0";"Coop La Meute";"1000";"0";
"1924";"Panier Gourmand de notre région";"MX-RO-UUN-NN-P";"";"34.950000";"27.960000";"0";"Coop La Meute";"1000";"0";
"1925";"Panier en osier à garnir";"MX-RO-UUN-NN-P";"";"6.000000";"4.780000";"1";"Coop La Meute";"3";"0";
"1926";"Panier Apéro entre amis";"MX-RO-UUN-NN-P";"";"19.450000";"15.560000";"0";"Coop La Meute";"998";"0";
"1927";"Coffret Marius Fabre : le savon qui vient de Marseille";"MX-RO-UUN-NN-P";"";"25.200000";"20.160000";"1";"Coop La Meute";"998";"0";
"1928";"Panier petites  gourmandises";"MX-RO-UUN-NN-P";"";"18.750000";"15.000000";"0";"Coop La Meute";"999";"0";
"1929";"Chou Romanesco AR ( vendu à la pièce payée au poids)";"LC-MV-UUN-NO";"";"2.810000";"2.110000";"0";"M MOUSSA MANNAI ";"0";"1";
"1930";"Cresson AR à la botte";"LH-MN-LUN-NN-P";"";"1.100000";"84.000000";"0";"M MOUSSA MANNAI ";"0";"1";
